REF_DATE;PARTNER_ID;STATUS;PD;COUNTRY;RATING_MODEL;NACE;COMPANY_SIZE
29.9.2023;qvajo192sx6083;D;1;BG;FKBG21;4649;2.85765402
29.9.2023;jvxeh774ov6289;D;1;BG;FKBG20;4711;2.31925543
29.9.2023;piyll615xb3696;D;1;BG;FKBG20;1011;2.25125257
29.9.2023;lrcia383ln4042;D;1;BG;FKBG20;0119;0.00869209
29.9.2023;dfwez767ra6757;D;1;BG;FKBG20;1520;0
29.9.2023;cgskc559wz5362;D;1;BG;FKCE11;1089;0.02454238
29.9.2023;divst614td7275;D;1;BG;FKBG30;1051;0
29.9.2023;yopcj643cw3553;D;1;BG;CBIB10;1011;2.25125257
29.9.2023;hlevs895qz4801;D;1;BG;FKBG21;4621;25.30524475
29.9.2023;zzkhg186qj6682;D;1;BG;FKBG21;1051;1.06605987
29.9.2023;fcapo180pq7514;D;1;BG;FKBG30;7490;0
29.9.2023;vuhpz233dz9673;D;1;CY;CBIB10;3514;58.722
29.9.2023;lpqvl467ky7496;D;1;BG;CBIB10;4676;20.58185812
29.9.2023;qokgm919df2119;D;1;BG;CJIB10;0147;2.52224142
29.9.2023;tfxwh972by3061;D;1;BG;FKBG30;4649;0
29.9.2023;suynr816pa4725;D;1;BG;FKBG21;4511;21.66223438
29.9.2023;bsqil196yj2912;D;1;BG;FKBG21;4213;0.5097658
29.9.2023;zipzl539kb3721;D;1;BG;CJIB10;4661;0.73831676
29.9.2023;gniad724kj3054;D;1;BG;FKBG30;6820;0
29.9.2023;fhxhd186bq2856;D;1;BG;FKBG30;2059;66.60241022
29.9.2023;ktdxu435up5979;D;1;BG;PB*B20;9700;0
29.9.2023;mzplj400pw2837;D;1;BG;SAJB10;7490;0.47295222
29.9.2023;gitow635xb4109;D;1;BG;AUSF00;9700;0
29.9.2023;chxjv571ta8151;D;1;BG;PB*B20;9700;0
29.9.2023;nsubm156ml4197;D;1;BG;PB*B20;9700;0
29.9.2023;puemq503ew8501;D;1;BG;PB*B20;9700;0
29.9.2023;dlneo589tu3412;D;1;BG;SB*B20;9604;0.02096328
29.9.2023;wubqk293rk8382;D;1;BG;AUSF00;7490;0.02096328
29.9.2023;afmpc389kp7602;D;1;BG;PB*B30;9700;0
29.9.2023;agozr676sv9308;D;1;BG;SB*B20;4711;0.10686163
29.9.2023;maobv744bv3349;D;1;BG;PB*B20;9700;0
29.9.2023;htmqu466lh5735;D;1;BG;PB*B20;9700;0
29.9.2023;xigab210ze7881;D;1;BG;PB*B20;9700;0
29.9.2023;cqavu136nh6016;D;1;BG;PB*B20;9700;0
29.9.2023;xnjkq989fy7453;D;1;BG;PB*B20;9700;0
29.9.2023;rehlm855zs2993;D;1;BG;PB*B20;9700;0
29.9.2023;dzvmq681qd9409;D;1;BG;PB*B20;9700;0
29.9.2023;oesex871jj3354;D;1;BG;PB*B20;9700;0
29.9.2023;qzpuw341mr4262;D;1;BG;PB*B20;9700;0
29.9.2023;hgadh698zg1447;D;1;BG;PB*B20;9700;0
29.9.2023;wbbrz605gx4361;D;1;BG;PB*B20;9700;0
29.9.2023;edvaf627he5099;D;1;BG;PB*B20;9700;0
29.9.2023;xijob644yt3566;D;1;BG;PB*B30;9700;0
29.9.2023;nirbs258vs6604;D;1;BG;PB*B20;9700;0
29.9.2023;xhkia698sj2587;D;1;BG;PB*B20;9700;0
29.9.2023;gqqpy253ck3612;D;1;BG;PB*B20;9700;0
29.9.2023;stlnq300nv2401;D;1;BG;PB*B20;9700;0
29.9.2023;hvbbc824ud3623;D;1;BG;SB*B20;5210;0
29.9.2023;zehhm279lp8930;D;1;BG;SAJB10;0147;0.11095203
29.9.2023;jqnkh741bl7119;D;1;BG;PB*B20;9700;0
29.9.2023;idffa363nh5404;D;1;BG;PB*B20;9700;0
29.9.2023;oxzjv580wm5520;D;1;BG;PB*B20;9700;0
29.9.2023;dpwfz168lq4348;D;1;BG;SB*B20;4724;0
29.9.2023;nvpnq509hb7577;D;1;BG;PB*B30;9700;0
29.9.2023;zykrx553lp8808;D;1;BG;SJIB11;4941;0.07055935
29.9.2023;bfmnb135xt4711;D;1;BG;SAJB10;4941;0.02045198
29.9.2023;dqnsr160zw6914;D;1;BG;SB*B10;4931;0
29.9.2023;aqfeg306ho2613;D;1;BG;SM*B31;4690;0.21781367
29.9.2023;vimed746sz3698;D;1;BG;PB*B20;9700;0
29.9.2023;zmsvr294kp6662;D;1;BG;PB*B30;9700;0
29.9.2023;hmyxl696nu9765;D;1;BG;PB*B20;9700;0
29.9.2023;dgigy314ge7307;D;1;BG;PB*B20;9700;0
29.9.2023;cbqyu838br8614;D;1;BG;PB*B20;9700;0
29.9.2023;alfav500jf5439;D;1;BG;PB*B20;9700;0
29.9.2023;okuyr134wz8815;D;1;BG;PBJB10;9700;0
29.9.2023;cbglm926ua9253;D;1;BG;PB*B20;9700;0
29.9.2023;liqgt565qk8897;D;1;BG;PB*B30;9700;0
29.9.2023;tbqpv514ds9426;D;1;BG;PB*B20;9700;0
29.9.2023;onqru249vt3872;D;1;BG;PB*B20;9700;0
29.9.2023;ygcoy704la7098;D;1;BG;PB*B20;9700;0
29.9.2023;jjmlw580mg6468;P;0.0034793;BG;FJHB10;4638;4.66612106
29.9.2023;nmdjo377rz4459;P;0.0050688;BG;FKBG30;0111;3.7493607
29.9.2023;fdaft285mx9588;P;0.0109127;BG;FJHB10;4941;7.3115857
29.9.2023;rstbp738aj1148;P;0.0380632;BG;SBIB11;6512;0.07413845
29.9.2023;smmau470qf5162;P;0.0057454;BG;FKBG30;4645;13.92320213
29.9.2023;jmjco176gk4802;P;0.0084037;BG;SJIB11;4120;2.26301247
29.9.2023;kwjxh304fg8863;P;0.0025322;BG;FKBG30;1723;155.5644676
29.9.2023;ehetm305kg5785;P;0.0069294;BG;FKBG30;4672;162.0554173
29.9.2023;hlkej201ry2418;P;0.0017103;BG;FKBG30;4771;60.31137871
29.9.2023;bbexa922kg8528;P;0.0255006;BG;FKBG30;4649;511.0097931
29.9.2023;hdrms515kd9190;P;0.0171529;BG;FKBG30;5629;31.98230753
29.9.2023;fyvuy316fx7592;P;0.0037303;BG;FKBG30;5229;38.59341265
29.9.2023;syohm956sm5206;P;0.0089501;BG;FKBG30;2841;8.48910891
29.9.2023;sefoz568gn5349;P;0.0069774;BG;FKBG30;4669;12.02065594
29.9.2023;varet107nt9180;P;0.0025244;BG;FKBG30;4775;31.80846563
29.9.2023;xscfd975nc1555;P;0.0039084;BG;FKBG30;6209;52.03854956
29.9.2023;cenfo665iu8178;P;0.0007482;BG;FKBG30;3514;836.7644562
29.9.2023;dnpiu831xp1761;P;0.0048414;BG;FJHB10;5610;8.16187711
29.9.2023;oouan306hp7297;P;0.0134341;BG;FKBG30;4759;6.8135798
29.9.2023;xexmw173ak1489;P;0.0041445;BG;FKBG30;4646;10.75058749
29.9.2023;mmtkn867jt1112;P;0.0078605;BG;FKBG30;4621;313.3694505
29.9.2023;hdgbc746bq2909;P;0.0081612;BG;FKBG30;4646;18.37457731
29.9.2023;ltgjy525jn8407;P;0.0062018;BG;FKBG30;4531;29.67174419
29.9.2023;fnwos490nn5104;P;0.003341;BG;CJIB10;3511;0.5051641
29.9.2023;mqwdz496fl3877;P;0.0057965;BG;FJHB10;2511;2.22977799
29.9.2023;cagtv329kq3505;P;0.0027635;BG;CJIB10;4531;29.67174419
29.9.2023;hmmhv350ju9018;P;0.1281919;BG;FJHB10;4741;1.97515074
29.9.2023;xvonb686pr3165;P;0.0325883;BG;FKBG30;2752;28.18692986
29.9.2023;pdzti292tt5069;P;0.3880162;BG;FKBG30;5040;0
29.9.2023;iffeh987nu1439;P;0.0074248;BG;FKBG30;4646;3.90019411
29.9.2023;swoxk363rh2895;P;0.0080914;BG;FJHB10;4621;7.57081465
29.9.2023;elsdx268zk4409;P;0.0825048;BG;CJHB10;4646;9.66203043
29.9.2023;inkyg181ne3674;P;0.0194852;BG;FKBG30;4639;19.52602424
29.9.2023;ruzop663gq2805;P;0.0489516;BG;FJHB10;1013;1.5211166
29.9.2023;jlaer914sv8828;P;0.0192603;BG;FKBG30;4759;72.34635105
29.9.2023;vytex152oz8143;P;0.0024036;CA;FKBG30;0729;566.3455476
29.9.2023;gasxy693sq1668;P;0.0298872;BG;CBIB10;8010;2.25380907
29.9.2023;nloet603jz2058;P;0.0059476;BG;FKBG30;4645;10.30115505
29.9.2023;mgcdk723ct1832;P;0.0088129;BG;FJHB10;4120;44.75304014
29.9.2023;llmmh153nk7296;P;0.0013626;BG;GMNC22;6190;632.5979138
29.9.2023;jtjib378ty7029;P;0.0049738;BG;FKBG30;5610;3.52438883
29.9.2023;itjyu252wp3227;P;0.0063305;BG;FJHB10;4671;37.85714108
29.9.2023;svlno692jb3245;P;0.0074299;BG;FKBG30;4771;3.2355045
29.9.2023;krhqr881pm4814;P;0.0070613;BG;FKBG30;4771;10.67900553
29.9.2023;pppli417ky8407;P;0.0104127;BG;CJHB10;4941;2.49054083
29.9.2023;zzphj917ps6182;P;0.0206385;BG;FJHB10;4711;2.75079238
29.9.2023;tmphg364bp1498;P;0.0065278;BG;FJHB10;4339;9.15277592
29.9.2023;seuqq996bb7201;P;0.0043142;BG;FKBG30;2562;5.41568642
29.9.2023;eoikj987uy7457;P;0.0041638;BG;FKBG30;4673;6.91379454
29.9.2023;zpnab218ny3813;P;0.0111512;BG;FJHB10;4791;5.84108777
29.9.2023;ctlqy510hq5242;P;0.006411;BG;FJHB10;4791;3.59801598
29.9.2023;ptnmd270ty8216;P;0.0496378;BG;CBIB10;1039;9.13436914
29.9.2023;iylry951up5359;P;0.0180592;BG;FJHB10;4643;5.20042924
