REF_DATE;LOAN_ID;PARTNER_ID;COLL_ID;COLL_TYPE;PROCESSING;CURRENCY;REM_MTR;ORIG_MTR;END_DATE;PRODUCT;EXPOSURE;EAD;LGD;EL;RWA
29.9.2023;8798820044shar41;pdzti292tt5069;;UNS;CE;BGN;671;741;31.7.2025;Credit Cards;1827.65;1827.65;0.6910775;490.08;7736.18
29.9.2023;9668394468ofqc94;pdzti292tt5069;;UNS;OB;BGN;671;741;31.7.2025;Credit Cards;3352.67;1247.25;0.6910775;334.45;5279.43
29.9.2023;6697399302ozuo33;tfxwh972by3061;;UNS;CE;BGN;123;365;30.1.2024;Overdraft;0.5;0.5;0.5381277;0.27;0.42
29.9.2023;6865171360ufsw44;tfxwh972by3061;;UNS;OB;BGN;123;365;30.1.2024;Overdraft;0;0;0.5381277;0;0.01
29.9.2023;2542071158vsau86;divst614td7275;;UNS;CE;BGN;274;365;29.6.2024;Overdraft;3.69;3.69;0.5058656;1.87;1.28
29.9.2023;9539411026tdtk27;divst614td7275;;UNS;OB;BGN;274;365;29.6.2024;Overdraft;0;0;0.5058656;0;0.02
29.9.2023;3661137798vado77;fcapo180pq7514;;UNS;CE;BGN;123;365;30.1.2024;Overdraft;1.57;1.57;0.5381277;0.84;0.76
29.9.2023;5262414738gshy93;fcapo180pq7514;;UNS;OB;BGN;123;365;30.1.2024;Overdraft;0;0;0.5381277;0;0.01
29.9.2023;8196843576hqaf10;chxjv571ta8151;;UNS;CE;BGN;1;1430;30.9.2023;Corporate loan;1040.37;1040.37;0.868519;903.58;216.37
29.9.2023;1793214208lfed77;chxjv571ta8151;;UNS;OB;BGN;1;1430;30.9.2023;Corporate loan;0;0;0.868519;0;0
29.9.2023;4882467413uitv26;kvoog342eb8022;;UNS;CE;BGN;701;2192;30.8.2025;Credit Cards;0;0;0.3041292;0;0
29.9.2023;1048982904vwpn55;kvoog342eb8022;;UNS;OB;BGN;701;2192;30.8.2025;Credit Cards;1019.9;647.26;0.3041292;0.17;10.87
29.9.2023;5949835488gyjv32;ktdxu435up5979;;UNS;CE;BGN;1;1772;30.9.2023;Corporate loan;64.86;64.86;0.868519;56.33;14.91
29.9.2023;6983785818smgf53;ktdxu435up5979;;UNS;OB;BGN;1;1772;30.9.2023;Corporate loan;0;0;0.868519;0;0
29.9.2023;4704071247hdib20;ktdxu435up5979;;UNS;CE;BGN;1;1775;30.9.2023;Corporate loan;251.12;251.12;0.868519;218.1;54.08
29.9.2023;8904252149ofel45;ktdxu435up5979;;UNS;OB;BGN;1;1775;30.9.2023;Corporate loan;0;0;0.868519;0;0
29.9.2023;6879551653nglo74;haebl279ye2625;;UNS;CE;BGN;517;2197;27.2.2025;Credit Cards;6.41;6.41;0.3041292;0.26;4.5
29.9.2023;6712690399fgpu44;haebl279ye2625;;UNS;OB;BGN;517;2197;27.2.2025;Credit Cards;1010.38;452.32;0.3041292;18.38;317.84
29.9.2023;7563096320bbay26;gitow635xb4109;;UNS;CE;BGN;1;1412;30.9.2023;Corporate loan;1939.99;1939.99;0.9167154;1778.42;421.46
29.9.2023;1616743308cztd25;gitow635xb4109;;UNS;OB;BGN;1;1412;30.9.2023;Corporate loan;0;0;0.9167154;0;0
29.9.2023;8726423922uvrh26;gitow635xb4109;;UNS;CE;BGN;2663;3652;13.1.2031;Corporate loan;31.4;31.4;0.9167154;28.78;8.05
29.9.2023;5580174756nsso58;gitow635xb4109;;UNS;OB;BGN;2663;3652;13.1.2031;Corporate loan;0;0;0.9167154;0;0
29.9.2023;9872733963jfbl78;nsubm156ml4197;;UNS;CE;BGN;1;1821;30.9.2023;Corporate loan;2010.85;2010.85;0.868519;1746.46;414.2
29.9.2023;8040620413alaq11;nsubm156ml4197;;UNS;OB;BGN;1;1821;30.9.2023;Corporate loan;0;0;0.868519;0;0
29.9.2023;3117095879nzwf44;nsubm156ml4197;;UNS;CE;BGN;2663;3652;13.1.2031;Corporate loan;31.4;31.4;0.868519;27.27;7.64
29.9.2023;7030572200xzhh48;nsubm156ml4197;;UNS;OB;BGN;2663;3652;13.1.2031;Corporate loan;0;0;0.868519;0;0
29.9.2023;9251004974afkd83;qpvmo865wt3048;;UNS;CE;BGN;701;2182;30.8.2025;Credit Cards;103.06;103.06;0.3041292;0.22;9.8
29.9.2023;3825908556meht46;qpvmo865wt3048;;UNS;OB;BGN;701;2182;30.8.2025;Credit Cards;136.13;93.25;0.3041292;0.2;8.87
29.9.2023;1010626642kqoj20;imgro978xd9434;;UNS;CE;BGN;322;365;16.8.2024;Overdraft;0;0;0.3041292;0;0
29.9.2023;9027217143womh66;imgro978xd9434;;UNS;OB;BGN;322;365;16.8.2024;Overdraft;94.42;58.9;0.3041292;0.35;11.95
29.9.2023;9880137884cgbx89;puemq503ew8501;;UNS;CE;BGN;1;1464;30.9.2023;Corporate loan;1079.39;1079.39;0.868519;937.47;224.35
29.9.2023;2697375685cesh76;puemq503ew8501;;UNS;OB;BGN;1;1464;30.9.2023;Corporate loan;0;0;0.868519;0;0
29.9.2023;5553634661ykuk93;puemq503ew8501;;UNS;CE;BGN;2663;3652;13.1.2031;Corporate loan;31.4;31.4;0.868519;27.27;7.64
29.9.2023;6736173121trea15;puemq503ew8501;;UNS;OB;BGN;2663;3652;13.1.2031;Corporate loan;0;0;0.868519;0;0
29.9.2023;8769176454tsbj25;kvkkv868tk6945;;UNS;CE;BGN;224;365;10.5.2024;Overdraft;1.1;1.1;0.3041292;0;0.06
29.9.2023;3088877382phtu42;kvkkv868tk6945;;UNS;OB;BGN;224;365;10.5.2024;Overdraft;1539.73;936.18;0.3041292;0.98;50.18
29.9.2023;8778184894ldtz72;kvkkv868tk6945;;UNS;CE;BGN;731;2176;29.9.2025;Credit Cards;0;0;0.3041292;0;0
29.9.2023;8029940983nnkf19;kvkkv868tk6945;;UNS;OB;BGN;731;2176;29.9.2025;Credit Cards;246.14;162.61;0.3041292;0.17;8.72
29.9.2023;1719553495jadm12;hsmbc684qw1320;;UNS;CE;BGN;162;365;9.3.2024;Overdraft;180.01;180.01;0.3041292;1.54;47.75
29.9.2023;5477511297gyoy41;hsmbc684qw1320;;UNS;OB;BGN;162;365;9.3.2024;Overdraft;12.45;7.28;0.3041292;0.06;1.93
29.9.2023;6345888597xbvn25;hsmbc684qw1320;;UNS;CE;BGN;701;2210;30.8.2025;Credit Cards;999.57;999.57;0.3041292;8.58;265.15
29.9.2023;7117719879gavq15;hsmbc684qw1320;;UNS;OB;BGN;701;2210;30.8.2025;Credit Cards;16.63;18.12;0.3041292;0.16;4.81
29.9.2023;4990421522xvee84;hsmbc684qw1320;;UNS;CE;BGN;9627;11142;6.2.2050;Mortgage loan;26178.59;26178.59;0.4091777;302.21;27267.48
